"district","rooms","price_€","area_sq_m","distance_to_sea_m","avg_pr_per_dist_rooms","price_deviation"
Alanya(Center),"3+1",315000.0,160.0,400.0,377776.32,-62776.32000000001
Oba,"3+1",215000.0,120.0,3000.0,277600.0,-62600.0
Oba,"1+1",69800.0,60.0,3000.0,132396.36,-62596.359999999986
Oba,"1+1",70000.0,50.0,2000.0,132396.36,-62396.359999999986
Mahmutlar,"2+1",102000.0,90.0,400.0,164145.71,-62145.70999999999
Mahmutlar,"2+1",102000.0,110.0,450.0,164145.71,-62145.70999999999
Oba,"3+1",215500.0,220.0,1000.0,277600.0,-62100.0
Oba,"1+1",70500.0,70.0,2800.0,132396.36,-61896.359999999986
Alanya(Center),"2+1",142000.0,107.0,550.0,203551.52,-61551.51999999999
Alanya(Center),"2+1",142000.0,110.0,700.0,203551.52,-61551.51999999999
Alanya(Center),"2+1",142000.0,110.0,900.0,203551.52,-61551.51999999999
Oba,"1+1",71000.0,50.0,4000.0,132396.36,-61396.359999999986
Oba,"2+1",125000.0,69.0,300.0,186147.54,-61147.54000000001
Mahmutlar,"2+1",103000.0,125.0,400.0,164145.71,-61145.70999999999
Mahmutlar,"3+1",205000.0,230.0,350.0,266088.24,-61088.23999999999
Mahmutlar,"3+1",205000.0,147.0,1500.0,266088.24,-61088.23999999999
Kargıcak,"1+1",88000.0,60.0,1700.0,149085.94,-61085.94
Alanya(Center),"1+1",107500.0,55.0,400.0,168298.97,-60798.97
Alanya(Center),"2+1",143000.0,81.0,450.0,203551.52,-60551.51999999999
Oba,"1+1",72000.0,50.0,2000.0,132396.36,-60396.359999999986
Oba,"2+1",126000.0,100.0,400.0,186147.54,-60147.54000000001
Mahmutlar,"2+1",104000.0,95.0,350.0,164145.71,-60145.70999999999
Mahmutlar,"2+1",104000.0,120.0,350.0,164145.71,-60145.70999999999
Kargıcak,"2+1",178500.0,105.0,700.0,238600.0,-60100.0
Kargıcak,"1+1",89000.0,65.0,600.0,149085.94,-60085.94
Kestel,"1+1",86000.0,55.0,627.0,145889.58,-59889.57999999999
Kestel,"1+1",86000.0,65.0,600.0,145889.58,-59889.57999999999
Mahmutlar,"2+1",104500.0,125.0,1400.0,164145.71,-59645.70999999999
Mahmutlar,"1+1",56000.0,51.0,3000.0,115592.19,-59592.19
Kargıcak,"1+1",89500.0,60.0,100.0,149085.94,-59585.94
Konaklı,"2+1",128000.0,140.0,500.0,187250.0,-59250.0
Mahmutlar,"2+1",105000.0,120.0,1000.0,164145.71,-59145.70999999999
Mahmutlar,"2+1",105000.0,130.0,3000.0,164145.71,-59145.70999999999
Mahmutlar,"2+1",105000.0,90.0,550.0,164145.71,-59145.70999999999
Mahmutlar,"2+1",105000.0,120.0,400.0,164145.71,-59145.70999999999
